CDD_Profile	PFAM_Profile	TIGR_Profile	COG_Profile	Function	Gene	Group	Subtype	DB_Avail
cd09636	NA	TIGR00287	COG1518	acquisition_1	cas1	cas1	CAS-I,CAS-II,CAS-III	public
cd09634	pfam01867	NA	COG1518	acquisition_1	cas1	cas1	CAS-I,CAS-II,CAS-III,CAS-V	public
cd09722	NA	TIGR03641	COG1518	acquisition_1	cas1	cas1	CAS-I-B	public
cd09721	NA	TIGR03640	COG1518	acquisition_1	cas1	cas1	CAS-I-C	public
cd09719	NA	TIGR03638	COG1518	acquisition_1	cas1	cas1	CAS-I-E	public
cd09718	NA	TIGR03637	COG1518	acquisition_1	cas1	cas1	CAS-I-F	public
cd09720	NA	TIGR03639	COG1518	acquisition_1	cas1	cas1	CAS-II-A,CAS-II-B,CAS-II-C	public
cd09679	NA	TIGR02577	COG1353	CASCADE_LS	cas10	LS,CASCADE	CAS-III	public
cd09680	NA	TIGR02578	COG1353	CASCADE_LS	cas10	LS,CASCADE	CAS-III	public
cd09701	NA	TIGR02682	NA	CASCADE_LS	cas10	LS,CASCADE	CAS-III-C	public
cd09712	NA	TIGR03174	NA	CASCADE_LS	cas10d	LS,CASCADE	CAS-I-D	public
cd09638	NA	TIGR01573	COG1343	acquisition_2	cas2	cas2	CAS-I,CAS-II,CAS-III	public
cd09725	pfam02647	NA	COG1343	acquisition_2	cas2	cas2	CAS-I,CAS-II,CAS-III,CAS-V	public
cd09755	pfam09707	NA	COG1343	acquisition_2	cas2	cas2	CAS-I-E	public
cd09648	NA	TIGR01873	COG1343	acquisition_2	cas2	cas2	CAS-I-E	public
cd09639	NA	TIGR01587	COG1203	helicase_HD	cas3	cas3	CAS-I	public
cd09696	NA	TIGR02621	COG1203	helicase_HD	cas3	cas3	CAS-I-U	public
cd09710	NA	TIGR03158	COG1203	helicase_HD	cas3	cas3	CAS-I-D	public
cd09673	NA	TIGR02562	COG1203	helicase_HD	cas3f	cas3	CAS-I-F	public
cd10013	NA	NA	COG2254	helicase_HD	cas3HD	cas3	CAS-I	public
